filename,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us)
rex_output/workloadb/16/timeseries_2.txt,3103.796004206099,259,11578,3156.612244897959,1257,9245
rex_output/workloadb/16/timeseries_1.txt,3309.420942408377,238,11827,3226.4222222222224,890,7537
rex_output/workloadb/16/histogram_1.txt,3616.1661375661374,158,11638,3918.4727272727273,1258,9772
rex_output/workloadb/16/histogram_2.txt,3535.6464435146445,497,18697,3959.590909090909,491,17050
rex_output/workloadb/6/timeseries_2.txt,2674.2094736842105,161,13268,3234.6,770,10542
rex_output/workloadb/6/timeseries_1.txt,2904.5866388308978,169,12681,2699.785714285714,1115,9989
rex_output/workloadb/6/histogram_1.txt,2857.82722513089,172,14521,2523.9777777777776,680,6242
rex_output/workloadb/6/histogram_2.txt,2581.0,171,12117,2806.7291666666665,682,9778
rex_output/workloadb/10/timeseries_2.txt,2725.93776371308,358,11980,2628.7115384615386,1135,5211
rex_output/workloadb/10/timeseries_1.txt,2875.8574423480086,135,12787,2949.782608695652,484,7863
rex_output/workloadb/10/histogram_1.txt,3618.4195583596215,428,12481,3458.673469387755,1001,12990
rex_output/workloadb/10/histogram_2.txt,4927.537981269511,232,33557,5101.871794871795,1513,15573
rex_output/workloadb/3/timeseries_2.txt,2964.688888888889,211,8316,3162.890909090909,568,7852
rex_output/workloadb/3/timeseries_1.txt,3071.3765822784812,383,8861,3138.730769230769,569,6126
rex_output/workloadb/3/histogram_1.txt,4412.954784437435,281,19268,4829.836734693878,437,16140
rex_output/workloadb/3/histogram_2.txt,2786.063829787234,187,9023,2988.0666666666666,254,7090
rex_output/workloadc/16/timeseries_2.txt,3174.456,258,13596,,,
rex_output/workloadc/16/timeseries_1.txt,4306.556,167,26738,,,
rex_output/workloadc/16/histogram_1.txt,3366.428,224,14186,,,
rex_output/workloadc/16/histogram_2.txt,3237.711,216,14109,,,
rex_output/workloadc/6/timeseries_2.txt,2196.364,234,9825,,,
rex_output/workloadc/6/timeseries_1.txt,2755.92,153,16320,,,
rex_output/workloadc/6/histogram_1.txt,2785.457,236,12629,,,
rex_output/workloadc/6/histogram_2.txt,2664.404,160,13908,,,
rex_output/workloadc/10/timeseries_2.txt,2937.256,333,12767,,,
rex_output/workloadc/10/timeseries_1.txt,3621.469,179,24872,,,
rex_output/workloadc/10/histogram_1.txt,3214.399,356,14709,,,
rex_output/workloadc/10/histogram_2.txt,3343.073,276,12190,,,
rex_output/workloadc/3/timeseries_2.txt,2985.826,237,6744,,,
rex_output/workloadc/3/timeseries_1.txt,3670.737,259,14581,,,
rex_output/workloadc/3/histogram_1.txt,2895.903,220,9014,,,
rex_output/workloadc/3/histogram_2.txt,2758.412,171,8397,,,
rex_output/workloadd/16/timeseries_2.txt,3439.4094736842108,256,12514,,,
rex_output/workloadd/16/timeseries_1.txt,3593.4583772391993,205,18242,,,
rex_output/workloadd/16/histogram_1.txt,3226.7455121436114,343,15539,,,
rex_output/workloadd/16/histogram_2.txt,3615.249475890985,183,14484,,,
rex_output/workloadd/6/timeseries_2.txt,2791.89007470651,201,13454,,,
rex_output/workloadd/6/timeseries_1.txt,2686.010582010582,191,14047,,,
rex_output/workloadd/6/histogram_1.txt,2864.6907545164718,260,13161,,,
rex_output/workloadd/6/histogram_2.txt,2816.756641870351,204,13397,,,
rex_output/workloadd/10/timeseries_2.txt,2795.2413793103447,205,11512,,,
rex_output/workloadd/10/timeseries_1.txt,2724.6523560209425,195,12722,,,
rex_output/workloadd/10/histogram_1.txt,2719.6376963350785,170,13027,,,
rex_output/workloadd/10/histogram_2.txt,2789.6589229144665,185,12929,,,
rex_output/workloadd/3/timeseries_2.txt,2841.7011494252874,184,9527,,,
rex_output/workloadd/3/timeseries_1.txt,2537.928118393235,151,6791,,,
rex_output/workloadd/3/histogram_1.txt,3282.743128964059,147,10813,,,
rex_output/workloadd/3/histogram_2.txt,2737.6008359456637,142,8502,,,
rex_output/workloada/16/timeseries_2.txt,3748.291836734694,515,11705,3946.929411764706,194,11840
rex_output/workloada/16/timeseries_1.txt,4028.674226804124,181,22984,3651.3844660194177,163,21177
rex_output/workloada/16/histogram_1.txt,4439.833333333333,201,19998,4570.064705882353,357,14571
rex_output/workloada/16/histogram_2.txt,3303.6673189823873,279,12525,3228.229038854806,303,11014
rex_output/workloada/6/timeseries_2.txt,2851.716326530612,415,12357,2694.656862745098,264,12089
rex_output/workloada/6/timeseries_1.txt,2828.065868263473,330,14385,2967.6593186372747,307,13289
rex_output/workloada/6/histogram_1.txt,2868.337811900192,181,11890,2962.419624217119,304,10437
rex_output/workloada/6/histogram_2.txt,3651.284046692607,399,23726,3564.1460905349795,196,22391
rex_output/workloada/10/timeseries_2.txt,3004.978846153846,318,14190,2886.425,188,14450
rex_output/workloada/10/timeseries_1.txt,3211.451055662188,156,24710,3281.8601252609606,200,24202
rex_output/workloada/10/histogram_1.txt,2852.625,213,14402,3047.215909090909,508,12166
rex_output/workloada/10/histogram_2.txt,2876.8596837944665,518,14109,3066.483805668016,178,14249
rex_output/workloada/3/timeseries_2.txt,3146.2831683168315,407,7512,3205.9050505050504,386,7936
rex_output/workloada/3/timeseries_1.txt,3399.2520661157023,299,9436,3479.187984496124,353,9201
rex_output/workloada/3/histogram_1.txt,3345.1852589641435,284,11478,3135.1586345381525,331,11335
rex_output/workloada/3/histogram_2.txt,2787.2039603960397,295,8549,2907.3838383838383,249,7333
rex_output/workloadf/16/timeseries_2.txt,2811.42,162,13634,2900.0965092402466,209,11261
rex_output/workloadf/16/timeseries_1.txt,3009.211,229,11044,2968.4772727272725,393,12532
rex_output/workloadf/16/histogram_1.txt,2903.382,330,12032,2871.682092555332,467,13868
rex_output/workloadf/16/histogram_2.txt,2978.39,201,13182,2925.706457925636,173,14307
rex_output/workloadf/6/timeseries_2.txt,2436.658,193,9763,2483.598360655738,225,10440
rex_output/workloadf/6/timeseries_1.txt,2591.416,357,12112,2634.6923076923076,256,12931
rex_output/workloadf/6/histogram_1.txt,3376.026,136,16896,3246.38854805726,163,14208
rex_output/workloadf/6/histogram_2.txt,3101.073,325,13247,2953.5754527162976,219,9703
rex_output/workloadf/10/timeseries_2.txt,2812.165,208,15867,2692.2603550295858,245,10100
rex_output/workloadf/10/timeseries_1.txt,3258.011,229,10353,3295.481012658228,260,8899
rex_output/workloadf/10/histogram_1.txt,2962.938,347,12146,2974.1332007952287,365,14329
rex_output/workloadf/10/histogram_2.txt,2967.08,326,13066,2883.121272365805,199,11652
rex_output/workloadf/3/timeseries_2.txt,2707.449,262,8705,2935.237424547284,290,7619
rex_output/workloadf/3/timeseries_1.txt,2725.328,229,7727,2849.595703125,259,7183
rex_output/workloadf/3/histogram_1.txt,3083.974,248,7927,3177.5808383233534,182,8125
rex_output/workloadf/3/histogram_2.txt,2791.016,253,9475,2728.1192468619247,165,9342
redis_output/workloadb/16/timeseries_2.txt,1113.6339662447258,45,8947,2845.826923076923,104,6948
redis_output/workloadb/16/timeseries_1.txt,1225.170053475936,34,10711,3280.230769230769,125,10360
redis_output/workloadb/16/histogram_1.txt,893.7862356621481,66,8500,2426.487804878049,127,9970
