filename,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us)
rex_output/workloadb/16/timeseries_2.txt,74767.01277955272,644,339486,76752.9344262295,1031,298300
rex_output/workloadb/16/timeseries_1.txt,69756.8710691824,693,489901,71553.54347826086,1264,239811
rex_output/workloadb/16/histogram_1.txt,71397.2126984127,510,438066,75810.65454545454,1107,286424
rex_output/workloadb/16/histogram_2.txt,69939.90943396227,396,459596,72799.575,1293,190561
rex_output/workloadb/6/timeseries_2.txt,194394.64600840336,412,779037,195052.14583333334,976,759875
rex_output/workloadb/6/timeseries_1.txt,190259.31894736842,421,857401,223975.64,1095,799705
rex_output/workloadb/6/histogram_1.txt,204428.55450733754,420,989748,259756.30434782608,640,889912
rex_output/workloadb/6/histogram_2.txt,200162.57112750263,568,989562,284706.6666666667,1166,989763
rex_output/workloadb/10/timeseries_2.txt,101881.57939011567,301,499674,81269.67346938775,419,269472
rex_output/workloadb/10/timeseries_1.txt,105562.04807692308,578,814672,116769.890625,843,689319
rex_output/workloadb/10/histogram_1.txt,108422.8335078534,408,598524,117228.3111111111,989,616858
rex_output/workloadb/10/histogram_2.txt,108579.40674394098,611,509301,101010.3137254902,1059,340044
rex_output/workloadb/3/timeseries_2.txt,563514.8648363253,830,1539773,635061.320754717,1670,1479632
rex_output/workloadb/3/timeseries_1.txt,563109.9683877766,907,1769116,438717.60784313723,1393,1469379
rex_output/workloadb/3/histogram_1.txt,557169.2303664922,695,1199610,589083.4222222222,1656,1020168
rex_output/workloadb/3/histogram_2.txt,558184.3427083333,765,1389381,579232.9,109994,1179874
rex_output/workloadc/16/timeseries_2.txt,77397.198,259,599538,,,
rex_output/workloadc/16/timeseries_1.txt,70914.105,273,312739,,,
rex_output/workloadc/16/histogram_1.txt,70897.3540022548,376,279218,,,
rex_output/workloadc/16/histogram_2.txt,70213.009,574,370240,,,
rex_output/workloadc/6/timeseries_2.txt,201717.388,303,819711,,,
rex_output/workloadc/6/timeseries_1.txt,214307.864,558,1017954,,,
rex_output/workloadc/6/histogram_1.txt,206295.769,270,1188614,,,
rex_output/workloadc/6/histogram_2.txt,191853.371,455,829942,,,
rex_output/workloadc/10/timeseries_2.txt,110438.054,489,669867,,,
rex_output/workloadc/10/timeseries_1.txt,101857.012,654,519933,,,
rex_output/workloadc/10/histogram_1.txt,105288.338,409,490679,,,
rex_output/workloadc/10/histogram_2.txt,107034.79,425,518908,,,
rex_output/workloadc/3/timeseries_2.txt,563105.15,685,1359947,,,
rex_output/workloadc/3/timeseries_1.txt,554512.359,421,1668337,,,
rex_output/workloadc/3/histogram_1.txt,563586.813,534,1440120,,,
